"coordinates","name","start_methods","Nid","beds","bicycle","camping","distancetogrocery","freq","fueltypes","anchorpoints","dates","waterstation","mobile","oxygen","runway","sleepinworkshop","parkinhangar"
"51.3031, 13.2278","Riesa-Canitz","a499, app, s","4","No","No","Yes","3 km","123.50MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150530T215959Z;WKST=MO","Yes","004917661098435","No","grass","No","No"
"51.3031, 13.2278","Riesa-Canitz","a499, s","24","No","No","Yes","3 km","123.50MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20150731T215959Z;WKST=MO
EXDATE:20150426T220000Z,20150427T220000Z,20150428T220000Z,20150429T220000Z,20150430T220000Z,20150521T220000Z,20150524T220000Z,20150525T220000Z,20150526T220000Z,20150527T220000Z,20150528T220000Z,20150616T220000Z,20150621T220000Z,20150622T220000Z,20150623T220000Z,20150624T220000Z,20150625T220000Z,20150705T220000Z,20150706T220000Z,20150707T220000Z,20150708T220000Z,20150709T220000Z,20150712T220000Z,20150713T220000Z,20150714T220000Z,20150715T220000Z,20150716T220000Z","Yes","004917661098435","No","grass","No","Can be arranged, if requested in advance"
"51.3031, 13.2278","Riesa-Canitz ","w, a499, s","25","In most cases yes","No","Yes","3 km","123.50MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20190927T215959Z;WKST=MO","Yes","004917661098435","No","grass","No","Can be arranged, if requested in advance"
"51.2933, 13.3567","Riesa-Goehlis EDAU","a499, a699, s","56","In most cases yes","No","Yes","2 km","122.60MHz","Avgas, Super unleaded, JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131030T225959Z;WKST=MO","Yes","00491721526060","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"42.4275, 12.8501","Rieti ","app, s","770","In most cases yes","No","No","1 km","123.05MHz","Avgas, Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150920T215959Z;WKST=MO","Yes","3772862888","No","grass","No","Can be arranged, if requested in advance"
"52.1811, 9.05556","Rinteln EDVR","w, app, s","13","No","Yes","Yes","1 km","122.93MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=52;WKST=MO","Yes","0491785409523","No","grass, concrete / asphalt","Yes","No"
"46.0528, 3.99972","Roanne ","w, app, s","172","No","No","Yes","3 km","120.90MHz","Avgas, JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131001T215959Z;WKST=MO","Yes","0652383606","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"54.0965, 12.1491","Rostock-Purkshof","w, app, s","148","Yes","No","Yes","3 km","122.40MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20131130T225959Z;WKST=MO","Yes","004915129129652","No","grass","No","Can be arranged, if requested in advance"
"49.384, 1.175","Rouen","app, s","177","No","No","Yes","1 km","118.58MHz","Avgas, JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20130930T215959Z;WKST=MO","No","0033682228592","No","grass","Yes","For three 15m gliders or two 20m gliders in most cases"
"","Rouen boos","app, s","693","No","No","Yes","1 km","118.58MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141026T225959Z;WKST=MO","No","0033 682228592","No","grass","Yes","For three 15m gliders or two 20m gliders in most cases"
"43.1075, 0.619167","Saint Gaudens Montrejeau","a499, a699, s","738","No","No","Yes","3 km","120.43MHz","Avgas, Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=600;WKST=MO","Yes","0033666756552","No","grass","Yes","Can be arranged, if requested in advance"
"50.0358, 5.40417","Saint-Hubert EBSH","app, s","244","In most cases yes","No","No","3 km","122.18MHz","Avgas, JetA1","No","","Yes","+32491357280","No","grass","No","For more or larger gliders than mentioned above in most cases"
"52.0306, 10.3631","Salzgitter Schaeferstuhl EDVJ","w, a499, app, s","748","In most cases yes","No","Yes","2 km","122.50MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141005T215959Z;WKST=MO
RDATE:20150731T220000Z,20150801T220000Z,20150802T220000Z,20150803T220000Z,20150804T220000Z,20150805T220000Z,20150806T220000Z,20150807T220000Z,20150808T220000Z,20150809T220000Z,20150810T220000Z,20150811T220000Z,20150812T220000Z,20150813T220000Z,20150814T220000Z,20150815T220000Z","No","004917672951769","No","grass","No","For three 15m gliders or two 20m gliders in most cases"
"42.5736, -0.727778","Santa Cilia","app, s","833","Yes","No","Yes","1 km","123.50MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191231T225959Z;WKST=MO","Yes","+34639052376","Yes","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"51.0003, 8.31139","Schameder EDGQ","w, amg","208","In most cases yes","No","Yes","2 km","122.03MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO
RDATE:20130725T220000Z,20130810T220000Z","Yes","0049 (0)176/63151962","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"48.4029, 13.4479","Schaerding-Suben","w, a699, amg, s","749","Yes","Yes","Yes","> 3 km","122.70MHz","Avgas, Super Plus (Mogas), JetA1, Two stroke engine oil","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20301231T225959Z;WKST=MO","Yes","0043-67684189423,00436502289777","No","concrete / asphalt","No","Can be arranged, if requested in advance"
"48.2847, 9.67333","Schlechtenfeld","w, app, s","662","No","No","No","3 km","123.35MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SU;UNTIL=20140907T215959Z;WKST=MO
RDATE:20140801T220000Z,20140803T220000Z,20140804T220000Z,20140805T220000Z,20140806T220000Z,20140807T220000Z,20140808T220000Z,20140810T220000Z,20140811T220000Z,20140812T220000Z,20140813T220000Z,20140814T220000Z,20140815T220000Z","Yes","00491752247737","No","grass","No","For one 15m glider in most cases"
"51.1692, 8.26778","Schmallenberg-Rennfeld EDKR","w, app, s","164","No","No","Yes","3 km","122.43MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131027T225959Z;WKST=MO
RDATE:20130721T220000Z,20130722T220000Z,20130723T220000Z,20130724T220000Z,20130725T220000Z,20130728T220000Z,20130729T220000Z,20130730T220000Z,20130731T220000Z,20130801T220000Z,20130802T220000Z","Yes","0049 17641249843","No","grass","Yes","Can be arranged, if requested in advance"
"53.9728, 13.3431","Schmoldow","w, a499, s","783","In most cases yes","No","No","> 3 km","122.85MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191231T225959Z;WKST=MO","Yes","1","No","grass","No","Can be arranged, if requested in advance"
"53.9728, 13.3431","Schmoldow EDBY","w, a499, s","96","In most cases yes","No","Yes","> 3 km","122.85MHz","Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20190922T215959Z;WKST=MO","Yes","-","No","grass","No","Can be arranged, if requested in advance"
"52.7164, 10.5325","Schnuckenheide Repke","w, amg, s","241","In most cases yes","No","Yes","> 3 km","123.48MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150906T215959Z;WKST=MO","Yes","00495832/970935 (alternative Festnetznummer)","No","grass","No","Can be arranged, if requested in advance"
"52.0014, 11.7948","Schoenebeck EDOZ - Elbe-Saale-Fliegerlager","w, amg, s","666","Yes","No","Yes","> 3 km","123.00MHz","Super Plus (Mogas), Super unleaded, Two stroke engine oil","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140608T215959Z;WKST=MO","Yes","+491701601001","No","grass","Yes","Can be arranged, if requested in advance"
"48.8333, 8.53333","Schwann-Conweiler","w","698","No","No","No","2 km","122.30MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20171231T225959Z;WKST=MO","No","00491624220599","No","grass","No","Can be arranged, if requested in advance"
"","Schwarzheide EDBZ","w, app, s","129","Yes","No","Yes","2 km","129.98MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=52;WKST=MO","No","004915122842513","No","grass","No","Can be arranged, if requested in advance"
"50.0111, 10.2494","Schweinfurt-Sued","w, app, s","141","No","No","Yes","3 km","119.98MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20130929T215959Z;WKST=MO","No","004917642099096","No","grass","No","Can be arranged, if requested in advance"
"52.5969, 10.2231","Segelfluggelaende Oppershausen","w, amg","203","No","No","Yes","3 km","122.48MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130712T215959Z;WKST=MO
EXDATE:20130705T220000Z,20130706T220000Z","No","keine","No","grass","No","No"
"52.5969, 10.2231","Segelfluggelaende Oppershausen","w, amg","204","No","No","Yes","3 km","122.48MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131027T225959Z;WKST=MO","No","keine","No","grass","No","No"
"48, 9","Segelfluggelaende Uebersberg","w, a499, amg, s","753","In most cases yes","No","Yes","> 3 km","123.15MHz","Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20201231T225959Z;WKST=MO","Yes","+49 151 1672 5734","No","grass","No","Can be arranged, if requested in advance"
"","Segelflugplatz Bohlenbergerfeld","w, amg, app, s","699","In most cases yes","No","Yes","> 3 km","129.50MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=WE,SA,SU;UNTIL=20141005T215959Z;WKST=MO","Yes","0049 177-2672139","No","grass","No","Can be arranged, if requested in advance"
"47.8986, 13.9394","Segelflugplatz Scharnstein LOLC ","w, app, s","252","Yes","Yes","Yes","1 km","122.50MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20141031T225959Z;WKST=MO","Yes","+43 (0)664 8502210","No","grass","No","No"
"47.8986, 13.9394","Segelflugplatz Scharnstein LOLC ","w, app, s","686","Yes","Yes","Yes","1 km","122.50MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20141031T225959Z;WKST=MO","Yes","+43 (0)664 8502210","No","grass","No","No"
"48.6578, 17.3297","Senica - LZSE","w, app, s","55","Yes","No","Yes","2 km","123.60MHz","Avgas, Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;COUNT=10;WKST=MO","No","+421 903 461 853","No","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"44.3421, 6.37315","Seyne-Les-Alpes","w","713","In most cases yes","Yes","Yes","at the airport","118.45MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141115T225959Z;WKST=MO","Yes","+33 6 42 96 49 02","No","grass","No","Can be arranged, if requested in advance"
"51.5782, 8.214","Soest","w, app, s","813","No","No","Yes","> 3 km","122.60MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20191027T225959Z;WKST=MO","No","+49 02937-340","No","grass","Yes","Can be arranged, if requested in advance"
"48.9408, 20.5339","Spišská Nová Ves - LZSV","w, app, s","685","Yes","Yes","Yes","1 km","123.50MHz","Avgas, Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20141130T225959Z;WKST=MO","Yes","+421 903 563 265","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"48.9408, 20.5339","Spišská Nová Ves - LZSV","w, app, s","648","Yes","Yes","Yes","1 km","123.50MHz","Avgas, Super unleaded","Yes","","Yes","+421 903 563 265","No","grass","No","For two 15m gliders or one 20m glider in most cases"
"48.101, 16.9345","Spitzerberg LOAS","w, amg, app, s","228","Yes","No","Yes","2 km","122.07MHz","Avgas, Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151214T225959Z;WKST=MO","Yes"," +43 (0)664 152 63 89","No","grass","No","Can be arranged, if requested in advance"
"51.9958, 6.84027","Stadtlohn-Vreden","w, amg, s","159","No","Yes","Yes","> 3 km","119.20MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130727T215959Z;WKST=MO","Yes","00491781368387","No","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"52.6289, 11.82","Stendal-Borstel","w","752","Yes","Yes","Yes","2 km","122.40MHz","Avgas, Super Plus (Mogas), JetA1","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO","Yes","0049-179-1037220","No","grass, concrete / asphalt","No","For more or larger gliders than mentioned above in most cases"
"48.246, 16.115","Stockerau LOAU","app, s","158","No","No","No","3 km","122.85MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151031T225959Z;WKST=MO","No","0036306129025","No","concrete / asphalt","No","No"
"52.7417, 12.3917","Stoelln/Rhinow","w, amg, s","116","Yes","No","Yes","2 km","122.00MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151024T215959Z;WKST=MO
EXDATE:20150619T220000Z,20150703T220000Z,20150704T220000Z,20150808T220000Z,20150814T220000Z,20150815T220000Z,20150904T220000Z,20150905T220000Z
RDATE:20150402T220000Z,20150405T220000Z,20150406T220000Z,20150407T220000Z,20150408T220000Z,20150409T220000Z,20150430T220000Z,20150513T220000Z,20150514T220000Z,20150726T220000Z,20150727T220000Z,20150728T220000Z,20150729T220000Z,20150730T220000Z,20150802T220000Z,20150803T220000Z,20150804T220000Z,20150805T220000Z,20150806T220000Z","No","0049(0)33875/30535","No","grass","No","Can be arranged, if requested in advance"
"52.58, 13.9156","Strausberg","w, a499, s","126","Yes","No","Yes","1 km","123.05MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141026T225959Z;WKST=MO","Yes","0049 17661551944","No","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"52.5639, 10.6845","Stuede-Bernsteinsee","w","157","No","No","Yes","2 km","123.15MHz","Super unleaded, Two stroke engine oil","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130728T215959Z;WKST=MO","Yes","00491795458406","No","grass","No","Can be arranged, if requested in advance"
"52.5639, 10.6845","Stuede-Bernsteinsee 2014","w","645","No","No","Yes","2 km","123.15MHz","Super unleaded, Two stroke engine oil","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140810T215959Z;WKST=MO","Yes","00491795458406","No","grass","No","Can be arranged, if requested in advance"
"59.9233, 17.5352","Sundbro Airport","amg, app, s","87","No","No","Yes","3 km","123.35MHz","Avgas","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20130929T215959Z;WKST=MO","Yes","+46704933240","No","grass","Yes","No"
"46.2459, 20.0903","SZEGED_LHUD","w, app, s","133","In most cases yes","Yes","Yes","1 km","122.80MHz","Avgas, JetA1","No","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;COUNT=100;WKST=MO","Yes","36-20-7779-053","Yes","grass, concrete / asphalt","Yes","Can be arranged, if requested in advance"
"43.215, 0.0775","Tarbes-Laloubère","app, s","250","No","No","Yes","at the airport","122.60MHz","Avgas","No","RRULE:FREQ=DAILY;INTERVAL=1;COUNT=10;WKST=MO","Yes","+33617353552","No","grass","Yes","Can be arranged, if requested in advance"
"53.2514, 9.10861","Tarmstedt","w, amg, s","29","In most cases yes","No","Yes","> 3 km","123.15MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151018T215959Z;WKST=MO
RDATE:20150524T220000Z,20150525T220000Z,20150526T220000Z,20150527T220000Z,20150528T220000Z","Yes","+49-(0)176-20839103","No","grass","No","Can be arranged, if requested in advance"
"51.395, 12.5386","Taucha - EDCT","w, s","60","Yes","No","Yes","3 km","122.40MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151031T225959Z;WKST=MO","No","00491638659082","No","grass","No","Can be arranged, if requested in advance"
"52.0572, 5.92444","Terlet","w, a699, app, s","52","In most cases yes","No","Yes","> 3 km","130.12MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20131001T215959Z;WKST=MO","No","+31613173525","No","grass","No","Can be arranged, if requested in advance"
"48.2904, 10.4455","Thannhausen - EDNU ","w, app, s","106","In most cases yes","No","Yes","2 km","118.18MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151231T225959Z;WKST=MO","No","000","No","grass","Yes","Can be arranged, if requested in advance"
"48.2904, 10.4455","Thannhausen - EDNU","w, a499","674","No","No","Yes","2 km","118.18MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151018T215959Z;WKST=MO","No","0173 8445673","No","grass","Yes","No"
"44.7939, 25.0869","Topoloveni","w, app, s","64","No","No","Yes","1 km","123.60MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20131208T225959Z;WKST=MO","Yes","+40722 291 839","No","grass","No","Can be arranged, if requested in advance"
"44.7939, 25.0869","Topoloveni","w, app, s","769","No","No","Yes","1 km","123.60MHz","","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151201T225959Z;WKST=MO","Yes","+40722 291 839","No","grass","Yes","For two 15m gliders or one 20m glider in most cases"
"44.7939, 25.0869","Topoloveni","w, app, s","696","No","No","Yes","1 km","123.60MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141208T225959Z;WKST=MO","Yes","+40722 291 839","No","grass","Yes","Can be arranged, if requested in advance"
"49.9667, 7.11667","Traben-Trarbach","w, a499, app, s","730","In most cases yes","No","Yes","2 km","123.00MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;UNTIL=20151005T215959Z;WKST=MO","Yes","00491709666882","No","grass","No","Can be arranged, if requested in advance"
"48.4544, 17.5181","Trnava - LZTR","app, s","728","No","No","Yes","2 km","123.50MHz","","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150927T215959Z;WKST=MO","Yes","00421903767749","No","grass","No","Can be arranged, if requested in advance"
"53.6467, 9.70389","Uetersen","w, amg, app, s","642","No","No","Yes","> 3 km","122.70MHz","Avgas, Super Plus (Mogas), JetA1","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141012T215959Z;WKST=MO
RDATE:20140417T220000Z,20140420T220000Z,20140430T220000Z,20140528T220000Z,20140608T220000Z,20141002T220000Z","No","+49 151 2278 7083","No","grass","Yes","Can be arranged, if requested in advance"
"48.3428, 9.91778","Ulm EDNE","w, amg, app, s","101","No","No","Yes","2 km","118.28MHz","Avgas, Super unleaded","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20151031T225959Z;WKST=MO","Yes","0171 / 3287630","No","grass","Yes","Can be arranged, if requested in advance"
"52.6203, 10.41","Ummern","w, amg, s","139","No","No","Yes","> 3 km","122.30MHz","Super unleaded","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20131031T225959Z;WKST=MO","No","0123/456789","No","grass","No","Can be arranged, if requested in advance"
"47.7297, 12.4381","Unterwoessen","w, a699, amg","82","No","Yes","No","1 km","122.30MHz","Super Plus (Mogas), Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=365;WKST=MO","Yes","+498641698787","No","grass, concrete / asphalt","No","For one 15m glider in most cases"
"49.7678, 5.96778","Useldange","w, s","664","No","No","Yes","1 km","129.98MHz","Super Plus (Mogas)","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20150927T215959Z;WKST=MO","Yes","+352 661 623 017","No","grass","Yes","Can be arranged, if requested in advance"
"51.7192, -2.8471","Usk ","w, app","661","No","Yes","Yes","> 3 km","129.98MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20140930T215959Z;WKST=MO","No","+44 7890 700523","No","grass","Yes","No"
"52.9083, 8.04056","Varrelbusch - EDWU","w, app, s","102","In most cases yes","No","Yes","> 3 km","123.00MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141025T215959Z;WKST=MO
RDATE:20140522T220000Z,20140523T220000Z,20140524T220000Z,20140525T220000Z,20140526T220000Z,20140527T220000Z,20140528T220000Z,20140529T220000Z,20140824T220000Z,20140825T220000Z,20140826T220000Z,20140827T220000Z,20140828T220000Z","Yes","004917630742402","No","grass","Yes","Can be arranged, if requested in advance"
"51.3667, 6.21667","Venlo NL","w, s","249","No","No","Yes","2 km","123.35MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=239;WKST=MO","Yes","0031610924733","No","grass","No","For one 15m glider in most cases"
"52.9653, 9.28267","Verden - Scharnhorst / EDWV","w, a499, app, s","137","No","Yes","Yes","3 km","122.40MHz","Avgas, Super Plus (Mogas)","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20151010T215959Z;WKST=MO","Yes","00491747645011","No","grass","No","For one 15m glider in most cases"
"47.6936, 10.3394","Verkehrslandeplatz Kempten-Durach","w, app, s","671","No","Yes","Yes","1 km","122.00MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141026T225959Z;WKST=MO","No","00491712641903","No","grass","No","No"
"43.7364, 5.78306","VINON SUR VERDON LFNF","app, s","701","Yes","No","Yes","2 km","118.15MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,SA,SU;UNTIL=20141221T225959Z;WKST=MO","Yes","+33 651 25 12 03","Yes","grass, concrete / asphalt","No","For two 15m gliders or one 20m glider in most cases"
"50.6244, 15.6456","Vrchlabi  LKVR","app, s","83","Yes","Yes","Yes","1 km","125.33MHz","Avgas","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR,SA,SU;COUNT=195;WKST=MO","No","+420 499 422 179 ","No","grass","No","Can be arranged, if requested in advance"
"50.6244, 15.6456","Vrchlabi  LKVR","app, s","709","No","Yes","Yes","1 km","125.33MHz","Avgas","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20171015T215959Z;WKST=MO","No","+420 499 422 179 ","No","grass","No","Can be arranged, if requested in advance"
"49.9269, 16.1858","Vysoke Myto LKVM","app, s","85","Yes","No","Yes","1 km","130.60MHz","Avgas, Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20130930T215959Z;WKST=MO","Yes","+420 606 165 923","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"48.6156, 8.75639","Waechtersberg EDSV","w, a499, amg, app, s","663","In most cases yes","No","Yes","3 km","123.48MHz","Avgas, Super Plus (Mogas), Two stroke engine oil","Yes","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20141031T225959Z;WKST=MO","Yes","+49-176-64347935","No","grass","Yes","For one 15m glider in most cases"
"53.5678, 12.6519","Waren-Vielist","w, app, s","830","In most cases yes","No","Yes","3 km","130.32MHz","","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20190930T215959Z;WKST=MO","No","0049(0)1723117065","No","grass","No","Can be arranged, if requested in advance"
"53.5678, 12.6519","Waren-Vielist","w, app, s","831","In most cases yes","No","Yes","3 km","130.32MHz","","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20150808T215959Z;WKST=MO","No","0049(0)1723117065","No","grass","No","Can be arranged, if requested in advance"
"50.4986, 9.95348","Wasserkuppe","w, app","800","In most cases yes","No","Yes","> 3 km","120.13MHz","Avgas, Super Plus (Mogas)","No","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20191027T225959Z;WKST=MO","Yes","+49(0)1717207280","No","grass, concrete / asphalt","No","Can be arranged, if requested in advance"
"49.0868, 10.1243","Weipertshofen","w, amg, s","183","No","No","Yes","> 3 km","123.35MHz","Super unleaded","No","RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SA,SU;UNTIL=20400101T225959Z;WKST=MO","No","0","No","grass","No","Can be arranged, if requested in advance"
"48.1817, 14.0383","Wels LOLW","w, amg, app, s","218","No","Yes","Yes","2 km","119.70MHz","Avgas, Super Plus (Mogas), JetA1","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20141231T225959Z;WKST=MO","Yes","+436646327911","No","grass, concrete / asphalt","Yes","For three 15m gliders or two 20m gliders in most cases"
"50.4517, 6.78444","Wershofen/Eifel EDRV","w, amg, s","5","No","No","Yes","2 km","122.40MHz","Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20130407T215959Z;WKST=MO","Yes","00491772101249","No","grass","Yes","No"
"","Wershofen/Eifel EDRV","w, amg, s","6","No","No","Yes","2 km","122.40MHz","Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20130810T215959Z;WKST=MO","Yes","00491772101249","No","grass","Yes","No"
"50.4517, 6.78444","Wershofen/Eifel EDRV","w, amg, s","7","No","No","Yes","2 km","122.40MHz","Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;UNTIL=20130414T215959Z;WKST=MO","Yes","00491772101249","No","grass","Yes","No"
"","Wershofen/Eifel EDRV","w, amg, s","8","No","No","Yes","2 km","122.40MHz","Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20130512T215959Z;WKST=MO","Yes","00491772101249","No","grass","Yes","Can be arranged, if requested in advance"
"","Wershofen/Eifel EDRV","w, amg, s","9","No","No","Yes","2 km","122.40MHz","Super unleaded","Yes","RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=MO,TU,WE,TH,FR;UNTIL=20130526T215959Z;WKST=MO","Yes","00491772101249","No","grass","Yes","No"
